Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
REDBL,Reliable Development Bank Limited,28.14,,28.14,,2017-03-03,2072/2073
SAFL,Sagarmatha Finance Limited,18.3,,18.3,,2017-03-05,2072/2073
NLIC,Nepal Life Insurance Company Limited,25,1.31,26.31,,2017-03-10,2072/2073
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,20,11.05,31.05,,2017-03-13,2072/2073
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,15,0.79,15.79,,2017-03-14,2072/2073
ALICL,Asian Life Insurance Company Limited,20,1.05,21.05,,2017-03-16,2072/2073
GBIME,Global IME Bank Limited,16,,16,,2017-03-20,2072/2073
EDBL,Excel Development Bank Limited,25,1.31,26.31,,2017-03-20,2072/2073
RBBBL,Raptibheri Bikas Bank Limited,9.25,0.48,9.73,,2017-03-29,2072/2073
CCBL,Century Commercial Bank Limited,10,,10,,2017-03-31,2072/2073
ADBL,Agricultural Development Bank Limited,20,1.05,21.05,,2017-03-31,2072/2073
SETI,Seti Finance Limited,3.6,0.18,3.78,,2017-04-03,2072/2073
WDBL,Western Development Bank Limited,10,1.05,11.05,,2017-04-10,2072/2073
SLICL,Surya Life Insurance Company Limited,5,,5,,2017-04-10,2071/2072
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,65,,65,,2017-04-17,2072/2073
MLBL,Mahalaxmi Bikas Bank Limited,8,,8,,2017-04-20,2072/2073
KRBL,Karnali Development Bank Limited,8,5,13,,2017-04-26,2072/2073
KEBL,Kabeli Bikas Bank Limited,20,,20,,2017-04-26,2072/2073
CBL,Civil Bank Limited,2.88,0.15,3.03,,2017-05-04,2072/2073
SADBL,Shangrila Development Bank Limited,16.07,0.85,16.92,,2017-05-18,2072/2073
LICN,Life Insurance Corporation Nepal Limited,24.8,1.3,26.1,,2017-05-19,2072/2073
NCDB,Nepal Community Development Bank Limited,5.15,0.27,5.42,,2017-05-26,2072/2073
GLICL,Gurans Life Insurance Company Limited,8,0.421,8.421,,2017-06-12,2072/2073
LBL,Laxmi Bank Limited,18.29,,18.29,,2017-06-16,2072/2073
MPFL,Multipurpose Finance Company Limited,12,,12,,2017-06-21,2072/2073
EIC,Everest Insurance Company Limited,20,,20,,2017-06-23,2072/2073
STC,Salt Trading Corporation Limited,20,5,25,,2017-06-28,2072/2073
MIDBL,Mission Development Bank Limited,22,0.16,22.16,,2017-06-29,2072/2073
NLICL,National Life Insurance Company Limited,25,1.32,26.32,,2017-07-23,2072/2073
LVF1,Laxmi Value Fund-1,0,25,25,,2017-08-09,2073/2074
CIT,Citizen Investment Trust,21.85,1.15,23,,2017-08-11,2071/2072
CBIL,Citizens Capital Ltd. (Former CBIL Capital ),0,5,5,,2017-08-13,2073/2074
AHPC,Arun Valley Hydropower Development Company Limited,10,0.526,10.526,,2017-08-25,2073/2074
SLICL,Surya Life Insurance Company Limited,10,,10,,2017-08-25,2072/2073
NBF1,Nabil Balanced Fund-1,0,42,42,,2017-08-27,2073/2074
CZBIL,Citizens Bank International Limited,16,1,17,,2017-08-28,2073/2074
NIBSF1,NIBL Samriddhi Fund 1,,18,18,,2017-08-28,2073/2074
SIGS1,Siddhartha Investment Growth Scheme-1,0,60,60,,2017-08-28,2073/2074
SEOS,Siddhartha Equity Oriented Scheme,0,25,25,,2017-08-28,2073/2074
PLIC,Prime Life Insurance Company Limited,25,,25,,2017-08-30,2072/2073
NICA,NIC Asia Bank Limited,20,1.05,21.05,,2017-09-01,2073/2074
NICL,Nepal Insurance Company Limited,5,,5,,2017-09-01,2072/2073
NGPL,Ngadi Group Power Limited,10,0.53,10.53,,2017-09-07,2073/2074
NABIL,Nabil Bank Limited,30,18,48,,2017-09-12,2073/2074
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,15,0.79,15.79,,2017-09-12,2073/2074
NABILP,NABIL Bank Limited Promoter Share,30,18,48,,2017-09-12,2073/2074
NIL,Neco Insurance Limited,10,0.52,10.52,,2017-09-14,2073/2074
UNL,Unilever Nepal Limited,0.00,"1,270.00","1,270.00",,2017-09-15,2073/2074
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,30,12.105,42.105,,2017-09-18,2073/2074
SANIMA,Sanima Bank Limited,16,,16,,2017-09-22,2073/2074
NMBSF1,NMB Sulav Investment Fund-1,0,21.0563,21.0563,,2017-09-25,2073/2074
GILB,Global IME Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,,2017-09-26,2073/2074
BARUN,Barun Hydropower Company Limited,5,0.263,5.263,,2017-10-04,2073/2074
NIB,Nepal Investment Bank Limited,15,25,40,,2017-10-04,2073/2074
NIBPO,Nepal Investment Bank Limited Promoter Share,15,25,40,,2017-10-04,2073/2074
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,16.66,0.88,17.54,,2017-10-09,2073/2074
ICFC,ICFC Finance Limited,10,11.05,21.05,,2017-10-11,2073/2074
RHPC,Ridi Hydropower Development Company Limited,6,0.3157,6.3157,,2017-10-16,2073/2074
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,19.89,25.11,45,,2017-10-23,2073/2074
CHCL,Chilime Hydro power Company Limited,15,10,25,,2017-10-23,2073/2074
PRIN,Prabhu Insurance Company Limited,19.2,1.01,20.21,,2017-10-24,2073/2074
GBIME,Global IME Bank Limited,10,10,20,,2017-10-25,2073/2074
OHL,Oriental Hotel Limited,18,6.21,24.21,,2017-10-26,2073/2074
NBB,Nepal Bangladesh Bank Limited,12,3.79,15.79,,2017-10-30,2073/2074
SRBL,Sunrise Bank Limited,15,,15,,2017-10-30,2073/2074
SIL,Siddhartha Insurance Limited,20,1.053,21.053,,2017-11-01,2073/2074
WOMI,Womi Laghubitta Bittiya Sanstha Limited,20,1.052,21.052,,2017-11-02,2073/2074
PICL,Prudential Insurance Company Limited,20,1.05,21.05,,2017-11-03,2073/2074
TDBL,Tourism Development Bank Limited,9.3,,9.3,,2017-11-05,2072/2073
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,10,16.32,26.32,,2017-11-09,2073/2074
DBBL,Deva Bikas Bank Limited,17.1,0.9,18,,2017-11-09,2073/2074
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,25,1.3158,26.3158,,2017-11-10,2073/2074
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,13,0.68,13.68,,2017-11-10,2073/2074
SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,15,,15,,2017-11-10,2073/2074
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,50,10,60,,2017-11-12,2073/2074
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,20,11.57,31.57,,2017-11-14,2073/2074
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20,11.58,31.58,,2017-11-17,2073/2074
MBL,Machhapuchchhre Bank Limited,9,6,15,,2017-11-17,2073/2074
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,10,5,15,,2017-11-17,2073/2074
KBBL,Kailash Bikas Bank Limited,10,9.45,19.45,,2017-11-17,2073/2074
SHL,Soaltee Hotel Limited,15,6.05,21.05,,2017-11-20,2073/2074
EDBL,Excel Development Bank Limited,30.12,1.58,31.7,,2017-11-21,2073/2074
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25,1.316,26.316,,2017-11-26,2073/2074
LBL,Laxmi Bank Limited,10,0.53,10.53,,2017-11-27,2073/2074
BNT,Bottlers Nepal (Terai) Limited,0,25,25,,2017-11-27,2073/2074
NBBL,Nagbeli Laghubitta Bikash Bank Limited,45.6,2.4,48,,2017-11-29,2073/2074
HDL,Himalayan Distillery Limited,0,21.05,21.05,,2017-12-01,2073/2074
NMFBS,National Laghubitta Bittiya Sanstha Limited,20,15,35,,2017-12-01,2073/2074
TNBL,Tinau Development Bank Limited,10,5,15,,2017-12-06,2073/2074
SICL,Shikhar Insurance Company Limited,29,1.526,30.526,,2017-12-08,2073/2074
UMHL,United Modi Hydropower Limited,0,5,5,,2017-12-08,2073/2074
GFCL,Goodwill Finance Company Limited,10.19,0.536,10.726,,2017-12-11,2073/2074
SBBLJ,Sahayogi Vikas Bank Limited,20,4.5,24.5,,2017-12-14,2073/2074
LGIL,Lumbini General Insurance Limited,12.82,0.67,13.49,,2017-12-15,2073/2074
SBI,Nepal SBI Bank Limited,15.42,0.81,16.23,,2017-12-15,2073/2074
MDB,Miteri Development Bank Limited,31.48,1.66,33.14,,2017-12-19,2073/2074
NLO,Nepal Lube Oil Limited,0,25,25,,2017-12-20,2073/2074
PCBL,Prime Commercial Bank Limited,27,,27,,2017-12-20,2073/2074
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,5,15,20,,2017-12-22,2073/2074
MNBBL,Muktinath Bikas Bank Limited,20,1.05,21.05,,2017-12-22,2073/2074
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),4.5,0.23,4.73,,2017-12-22,2073/2074
SFFIL,Srijana Finance Limited,32.5,1.71,34.21,,2017-12-23,2073/2074
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,19,1,20,,2017-12-23,2073/2074
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,13,7.68,20.68,,2017-12-24,2073/2074
SHINE,Shine Resunga Development Bank Limited,25,,25,,2017-12-25,2073/2074
MSMBS,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,0,5,5,,2017-12-25,2073/2074
HBL,Himalayan Bank Limited,25,1.3158,26.3158,,2017-12-26,2073/2074
KMFL,Kisan Microfinance Bittiya Sanstha Limited,20.125,0,21.445,,2017-12-26,2073/2074
JBNL,Janata Bank Nepal Limited,14.4,,14.4,,2017-12-26,2073/2074
HIDCL,Hydroelectricity Investment and Development Company Limited,0,5,5,,2017-12-27,2073/2074
UIC,United Insurance Company (Nepal) Limited,10,,10,,2017-12-27,2072/2073
NTC,Nepal Doorsanchar Company Limited,0,55,55,,2017-12-27,2073/2074
EBL,Everest Bank Limited,33,1.74,34.74,,2017-12-28,2073/2074
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,15,0.78,15.78,,2017-12-29,2073/2074
HGI,Himalayan General Insurance Company Limited,0,15,15,,2017-12-29,2073/2074
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,16,15,31,,2017-12-29,2073/2074
GBBL,Garima Bikas Bank Limited,15,,15,,2017-12-29,2073/2074
PURBL,Purnima Bikas Bank Limited,19.19,1.01,20.2,,2017-12-29,2073/2074
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,66.67,14.04,80.71,,2017-12-29,2073/2074
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,34.48,10.52,45,,2017-12-29,2073/2074
UFL,United Finance Limited,19,,19,,2017-12-29,2073/2074
MIDBL,Mission Development Bank Limited,20,1.05,21.05,,2017-12-31,2073/2074
SCB,Standard Chartered Bank Nepal Limited,100,5.26,105.26,,2017-12-31,2073/2074
JBBL,Jyoti Bikash Bank Limited,10,,10,,2017-12-31,2073/2074
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,,2018-01-02,2073/2074
GMFIL,Guheswori Merchant Banking & Finance Limited,15.8,,15.8,,2018-01-03,2073/2074
JFL,Janaki Finance Company Limited,18,,18,,2018-01-03,2073/2074
API,Api Power Company Limited,8,,8,,2018-01-05,2073/2074
KADBL,Kanchan Development Bank Limited,12.33,0.64,12.97,,2018-01-05,2073/2074
NNLB,Naya Nepal Laghubitta Bikas Bank Limited,20,1.0526,21.0526,,2018-01-11,2073/2074
KNBL,Kankai Bikas Bank Limited,6.15,0.322,6.472,,2018-01-16,2073/2074
ADBL,Agricultural Development Bank Limited,20,1.053,21.053,,2018-01-29,2073/2074
NLG,NLG Insurance Company Limited,25,1.315,26.315,,2018-02-01,2073/2074
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,21.21,,21.21,,2018-02-18,2073/2074
STC,Salt Trading Corporation Limited,25,10,35,,2018-02-20,2073/2074
CCBL,Century Commercial Bank Limited,5,5,10,,2018-02-23,2073/2074
ODBL,Om Development Bank Limited,17.69,,17.69,,2018-02-26,2073/2074
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,50,15,65,,2018-03-01,2073/2074
TRH,Taragaon Regency Hotel Limited,0,7.36,7.36,,2018-03-02,2073/2074
SBL,Siddhartha Bank Limited,14,,14,,2018-03-04,2073/2074
PIC,Premier Insurance Company (Nepal) Limited,13.52,,13.52,,2018-03-22,2073/2074
NLIC,Nepal Life Insurance Company Limited,42,28.5,70.5,,2018-03-28,2073/2074
EIC,Everest Insurance Company Limited,10,,10,,2018-04-09,2073/2074
MLBL,Mahalaxmi Bikas Bank Limited,0,9,9,,2018-04-20,2073/2074
NICL,Nepal Insurance Company Limited,4.52,,4.52,,2018-04-20,2073/2074
CIT,Citizen Investment Trust,22,1.157,23.157,,2018-04-22,2072/2073
HAMRO,Hamro Bikas Bank Limited,7.3,0.3832,7.6832,,2018-05-03,2073/2074
BPCL,Butwal Power Company Limited,0,20,20,,2018-05-10,2073/2074
NCDB,Nepal Community Development Bank Limited,8.61,0.45,9.06,,2018-05-11,2073/2074
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,30.8,,30.8,,2018-05-16,2073/2074
ALICL,Asian Life Insurance Company Limited,4,0.21,4.21,,2018-05-18,2073/2074
GDBL,Gandaki Bikas Bank Limited,19.3106,,19.3106,,2018-05-22,2073/2074
WDBL,Western Development Bank Limited,17.41,0.91,18.32,,2018-06-07,2073/2074
PFL,Pokhara Finance Limited,8.26,0.435,8.695,,2018-06-10,2073/2074
SIFC,Shree Investment Finance Company Limited,26.57,,26.57,,2018-06-18,2073/2074
MFIL,Manjushree Finance Limited,5.71,0.32,6.03,,2018-06-18,2073/2074
SADBL,Shangrila Development Bank Limited,2.5,9.3,11.8,,2018-06-18,2073/2074
RADHI,Radhi Bidyut Company Limited,10,0.6,10.6,,2018-06-19,2073/2074
BOKL,Bank of Kathmandu Limited,13.25,,13.25,,2018-06-22,2073/2074
MEGA,Mega Bank Nepal Limited,10.7539,,10.7539,,2018-06-28,2073/2074
SLICL,Surya Life Insurance Company Limited,12,0.63,12.63,,2018-07-01,2073/2074
KSBBL,Kamana Sewa Bikas Bank Limited,5.5,6.5,12,2018-08-02,2018-07-02,2073/2074
SINDU,Sindhu Bikas Bank Limited,5.95,0.3132,6.2632,2018-06-24,2018-07-06,2073/2074
WDBL,Western Development Bank Limited,0,14.74,14.74,2019-06-03,2018-07-11,2074/2075
HAMRO,Hamro Bikas Bank Limited,2.4,7.9145,10.3145,2018-10-02,2018-07-16,2074/2075
NMB,NMB Bank Limited,15,0.7895,15.7895,2018-07-26,2018-08-02,2073/2074
SEOS,Siddhartha Equity Oriented Scheme,0,12,12,2018-09-06,2018-08-20,2074/2075
NGPL,Ngadi Group Power Limited,0,10,10,2018-08-19,2018-08-30,2074/2075
NIBSF1,NIBL Samriddhi Fund 1,0,12,12,2018-08-23,2018-09-07,2074/2075
ICFC,ICFC Finance Limited,0,8,8,2018-09-04,2018-09-12,2074/2075
BNL,Bottlers Nepal Limited (Balaju),0,20,20,2018-09-10,2018-09-17,2074/2075
BNT,Bottlers Nepal (Terai) Limited,0,40,40,2019-12-05,2018-09-18,2074/2075
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2018-09-12,2018-09-21,2074/2075
RHPC,Ridi Hydropower Development Company Limited,6,0.315,6.315,2018-09-30,2018-09-23,2074/2075
GBBL,Garima Bikas Bank Limited,10,3.75,13.75,2018-09-21,2018-09-28,2074/2075
MLBL,Mahalaxmi Bikas Bank Limited,8,7,15,2018-09-21,2018-09-30,2074/2075
JFL,Janaki Finance Company Limited,22,1.16,23.16,2018-09-21,2018-10-02,2074/2075
SHINE,Shine Resunga Development Bank Limited,17.7,0.93,18.63,2018-09-25,2018-10-02,2074/2075
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,0,12.6316,12.6316,2018-09-21,2018-10-03,2074/2075
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,15,11.32,26.32,2018-09-27,2018-10-03,2074/2075
OHL,Oriental Hotel Limited,15,11.32,26.32,2018-09-27,2018-10-05,2074/2075
BHBL,Bhargav Bikash Bank Limited,5.55,0.29,5.84,2018-09-30,2018-10-05,2073/2074
SHPC,Sanima Mai Hydropower Limited,10,5,15,2018-10-02,2018-10-11,2074/2075
JBBL,Jyoti Bikash Bank Limited,0,8.4,8.4,2018-09-25,2018-10-15,2074/2075
WOMI,Womi Laghubitta Bittiya Sanstha Limited,0,25,25,2018-09-30,2018-10-21,2074/2075
GMFIL,Guheswori Merchant Banking & Finance Limited,0,5.26,5.26,2019-01-04,2018-10-26,2074/2075
PFL,Pokhara Finance Limited,5,8.684,13.684,2018-10-15,2018-10-29,2074/2075
UFL,United Finance Limited,0,5,5,2018-10-23,2018-10-30,2074/2075
CFCL,Central Finance Limited,8.77,0,8.77,2018-10-14,2018-10-31,2073/2074
GILB,Global IME Laghubitta Bittiya Sanstha Limited,15,0.7875,15.7875,2018-10-24,2018-11-02,2074/2075
KNBL,Kankai Bikas Bank Limited,3,6.5,9.5,2018-11-05,2018-11-14,2074/2075
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,20,22.11,42.11,2018-11-19,2018-11-27,2074/2075
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,6.66,7.36,14.02,2018-11-19,2018-11-28,2074/2075
SANIMA,Sanima Bank Limited,0,14,14,2018-11-21,2018-11-30,2074/2075
NMFBS,National Laghubitta Bittiya Sanstha Limited,25,15,40,2018-11-19,2018-12-01,2074/2075
SIFC,Shree Investment Finance Company Limited,1.23,8.77,10,2018-11-22,2018-12-02,2074/2075
CIT,Citizen Investment Trust,22.06,1.16,23.22,2018-11-26,2018-12-02,2073/2074
NMBSF1,NMB Sulav Investment Fund-1,0,21.05,21.05,2018-11-25,2018-12-03,2074/2075
MNBBL,Muktinath Bikas Bank Limited,18.25,0.96,19.21,2018-11-25,2018-12-04,2074/2075
NICA,NIC Asia Bank Limited,10,0.526,10.526,2018-11-26,2018-12-05,2074/2075
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,0,26.32,26.32,2018-11-22,2018-12-05,2074/2075
TNBL,Tinau Development Bank Limited,12,0.63,12.63,2018-11-30,2018-12-10,2074/2075
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,42.75,2.25,45,2019-01-02,2018-12-10,2074/2075
UMHL,United Modi Hydropower Limited,0,5,5,2018-12-02,2018-12-11,2074/2075
EBL,Everest Bank Limited,0,20,20,2018-12-02,2018-12-12,2074/2075
SHL,Soaltee Hotel Limited,10,16.31,26.31,2018-12-11,2018-12-12,2074/2075
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,10,0.526,10.526,2018-12-02,2018-12-14,2074/2075
NLO,Nepal Lube Oil Limited,10,30,40,2018-12-02,2018-12-14,2074/2075
KMFL,Kisan Microfinance Bittiya Sanstha Limited,29,1.53,30.53,2018-11-21,2018-12-15,2074/2075
MFIL,Manjushree Finance Limited,0,2.9,2.9,2018-12-11,2018-12-18,2074/2075
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,10,10,20,2018-12-10,2018-12-19,2074/2075
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,15,5.79,20.79,2018-12-11,2018-12-20,2074/2075
MBL,Machhapuchchhre Bank Limited,0,10,10,2018-12-14,2018-12-21,2074/2075
KBBL,Kailash Bikas Bank Limited,0,17,17,2018-12-25,2018-12-21,2074/2075
BPCL,Butwal Power Company Limited,10,18,28,2018-12-20,2018-12-21,2074/2075
SKDBL,Saptakoshi Development Bank Limited,3,5.03,8.03,2018-12-17,2018-12-23,2074/2075
SBL,Siddhartha Bank Limited,5,8.16,13.16,2018-12-16,2018-12-24,2074/2075
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,25,11.84,36.84,2018-12-18,2018-12-25,2074/2075
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,24,1.26,25.26,2018-12-17,2018-12-25,2074/2075
NMB,NMB Bank Limited,10,20,30,2018-12-17,2018-12-25,2074/2075
NIB,Nepal Investment Bank Limited,18,22,40,2018-12-18,2018-12-26,2074/2075
GDBL,Gandaki Bikas Bank Limited,0,14.2,14.2,2018-12-19,2018-12-26,2074/2075
MIDBL,Mission Development Bank Limited,11,0.57,11.57,2018-12-19,2018-12-26,2074/2075
KADBL,Kanchan Development Bank Limited,5,6.29,11.29,2018-12-13,2018-12-27,2074/2075
SRBL,Sunrise Bank Limited,0,11.5,11.5,2018-12-19,2018-12-27,2074/2075
SFFIL,Srijana Finance Limited,15,9.5,24.5,2018-12-24,2018-12-28,2074/2075
KEBL,Kabeli Bikas Bank Limited,35,0,35,2018-12-19,2018-12-28,2074/2075
GBIME,Global IME Bank Limited,16,0,16,2018-12-19,2018-12-28,2074/2075
NSEWA,Nepal Seva Laghubitta Bittiya Sanstha Limited,0,5.2,5.2,2018-12-24,2018-12-30,2074/2075
NTC,Nepal Doorsanchar Company Limited,0,55,55,2018-12-26,2018-12-30,2074/2075
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25,20,45,2018-12-24,2018-12-30,2074/2075
API,Api Power Company Limited,5,0,5,2018-12-18,2018-12-30,2074/2075
NBB,Nepal Bangladesh Bank Limited,0,10.53,10.53,2018-12-16,2018-12-30,2074/2075
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,10,0.53,10.53,2018-12-20,2018-12-30,2074/2075
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,15,0.78,15.78,2018-12-24,2018-12-30,2074/2075
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2018-12-21,2018-12-31,2074/2075
PURBL,Purnima Bikas Bank Limited,5,6.37,11.37,2018-12-24,2018-12-31,2074/2075
MEGA,Mega Bank Nepal Limited,1,6.85,7.85,2018-12-25,2018-12-31,2074/2075
JBNL,Janata Bank Nepal Limited,0,8.5,8.5,2018-12-24,2018-12-31,2074/2075
HBL,Himalayan Bank Limited,5,10.78,15.78,2018-12-26,2018-12-31,2074/2075
MSMBS,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,0,8,8,2018-12-26,2019-01-01,2074/2075
CZBIL,Citizens Bank International Limited,3.628,1.635,5.263,2018-12-25,2019-01-01,2074/2075
HIDCL,Hydroelectricity Investment and Development Company Limited,10,0,10,2018-12-31,2019-01-01,2074/2075
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,23.53,1.24,24.77,2019-01-02,2019-01-01,2074/2075
NCDB,Nepal Community Development Bank Limited,1,6.42,7.42,2018-12-24,2019-01-01,2074/2075
SADBL,Shangrila Development Bank Limited,4,5.45,9.45,2018-12-26,2019-01-01,2074/2075
SBI,Nepal SBI Bank Limited,5,10.79,15.79,2018-12-25,2019-01-02,2074/2075
CHCL,Chilime Hydro power Company Limited,20,5,25,2018-12-18,2019-01-03,2074/2075
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),4,3.89,7.89,2018-12-24,2019-01-04,2074/2075
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,10,10,20,2019-01-01,2019-01-10,2074/2075
SCB,Standard Chartered Bank Nepal Limited,0,17.5,17.5,2018-12-20,2019-01-13,2074/2075
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,8,0.42,8.42,2019-01-06,2019-01-13,2074/2075
BOKL,Bank of Kathmandu Limited,14,11,25,2019-01-06,2019-01-14,2074/2075
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25,1.313,26.313,2019-01-16,2019-01-17,2074/2075
LBL,Laxmi Bank Limited,8.5,0.45,8.95,2019-01-20,2019-01-28,2074/2075
UMB,Unnati Laghubitta Bittiya Sanstha Limited,40.5,2.13,42.63,2019-01-20,2019-01-30,2074/2075
GFCL,Goodwill Finance Company Limited,0,5.26,5.26,2019-01-21,2019-02-10,2074/2075
PRVU,Prabhu Bank Limited,8,0.42,8.42,2019-02-10,2019-02-18,2074/2075
SBBLJ,Sahayogi Vikas Bank Limited,0,17,17,2019-02-12,2019-02-25,2074/2075
NABIL,Nabil Bank Limited,12,22,34,2019-02-18,2019-02-26,2074/2075
MDB,Miteri Development Bank Limited,17,0.89,17.89,2019-02-18,2019-02-27,2074/2075
ADBL,Agricultural Development Bank Limited,6,15.053,21.053,2019-02-22,2019-02-28,2074/2075
LICN,Life Insurance Corporation Nepal Limited,12,0.63,12.63,2019-02-24,2019-03-05,2073/2074
CFCL,Central Finance Limited,0,7,7,2019-02-25,2019-03-07,2074/2075
STC,Salt Trading Corporation Limited,25,10,35,2019-02-27,2019-03-08,2074/2075
EDBL,Excel Development Bank Limited,0,17,17,2019-02-17,2019-03-11,2074/2075
NBBL,Nagbeli Laghubitta Bikash Bank Limited,9.38,0.49,9.87,2019-02-27,2019-03-13,2074/2075
NLICL,National Life Insurance Company Limited,13.5,0,13.5,2019-03-07,2019-03-15,2073/2074
GLICL,Gurans Life Insurance Company Limited,8,0.421,8.421,2019-03-10,2019-03-20,2073/2074
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,10.45,0.54,10.99,2019-03-25,2019-03-25,2074/2075
BHBL,Bhargav Bikash Bank Limited,0,6,6,2019-03-25,2019-04-05,2074/2075
SHIVM,Shivam Cements Limited,0,15.78,15.78,2019-04-24,2019-04-09,2074/2075
CCBL,Century Commercial Bank Limited,2,4.5,6.5,2019-04-03,2019-04-12,2074/2075
JEFL,Jebils Finance Limited,1.24,0,1.24,2019-04-10,2019-04-18,2074/2075
KBL,Kumari Bank Limited,12.75,0,12.75,2019-04-19,2019-04-19,2073/2074
KBL,Kumari Bank Limited,8.5,0,8.5,2019-04-10,2019-04-19,2074/2075
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,15,1.58,16.58,2019-04-12,2019-04-22,2074/2075
CBL,Civil Bank Limited,10.25,0.54,10.79,2019-04-16,2019-04-23,2073/2074
CBL,Civil Bank Limited,0,4.05,4.05,2019-04-16,2019-04-23,2074/2075
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,18,22,40,2019-04-21,2019-04-29,2074/2075
NLIC,Nepal Life Insurance Company Limited,25,23.5,48.5,2019-04-28,2019-05-02,2074/2075
TRH,Taragaon Regency Hotel Limited,0,12.631,12.631,2019-05-15,2019-05-17,2074/2075
PCBL,Prime Commercial Bank Limited,16,0,16,2019-05-15,2019-05-23,2074/2075
RLFL,Reliance Finance Limited,12,0.63,12.63,2019-05-19,2019-05-27,2073/2074
RLFL,Reliance Finance Limited,0,2.63,2.63,2019-05-19,2019-05-27,2074/2075
HDL,Himalayan Distillery Limited,0,68.42,68.42,2019-11-11,2019-05-31,2074/2075
SLICL,Surya Life Insurance Company Limited,12,0,12,2019-06-03,2019-06-11,2074/2075
SIL,Siddhartha Insurance Limited,15.48,0,15.48,2019-06-06,2019-06-13,2074/2075
KSBBL,Kamana Sewa Bikas Bank Limited,1.5,8,9.5,2019-06-06,2019-06-14,2074/2075
SIC,Sagarmatha Insurance Company Limited,86,0,86,2019-06-06,2019-06-16,2074/2075
DBBL,Deva Bikas Bank Limited,5.5,0,5.5,2019-06-03,2019-06-21,2074/2075
RADHI,Radhi Bidyut Company Limited,5,5,10,2019-06-23,2019-06-24,2074/2075
IGIL,IME General Insurance Limited,5,0,5,2019-06-13,2019-06-30,2074/2075
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2019-06-24,2019-07-03,2074/2075
PIC,Premier Insurance Company (Nepal) Limited,84,0,84,2019-06-26,2019-07-05,2074/2075
